flight_number,callsign,registration,aircraft_type,origin_airport,destination_airport,altitude,ground_speed,timestamp,category,airline
XQ585,SXS6UL,TC-SOK,B38M,EGGD/BRS,LTAI/AYT,0,1,2024-11-11 17:00:00 UTC,Day flight,SXS
FR4134,RYR84AW,SP-RSG,B738,LHBP/BUD,EGGD/BRS,12175,299,2024-11-11 17:14:59 UTC,Day flight,RYS
KL1082,KLM30J,PH-EXU,E75S,EGGD/BRS,EHAM/AMS,0,0,2024-11-11 17:29:59 UTC,Day flight,KLC
U22723,EZY21XM,G-UZHI,A20N,EGGD/BRS,LEAL/ALC,2525,202,2024-11-11 17:29:59 UTC,Day flight,EZY
FR4134,RYR84AW,SP-RSG,B738,LHBP/BUD,EGGD/BRS,0,13,2024-11-11 17:29:58 UTC,Day flight,RYS
FR1362,RYR6GU,EI-EFI,B738,LIPZ/VCE,EGGD/BRS,4950,226,2024-11-11 17:29:59 UTC,Day flight,RYR
FR4754,RYR9ND,EI-EKL,B738,GCTS/TFS,EGGD/BRS,1275,170,2024-11-11 17:45:00 UTC,Day flight,RYR
,ECA2HL,D-IOHL,C25A,EGGD/BRS,EBBR/BRU,0,3,2024-11-11 17:44:56 UTC,Day flight,ECA
FR4147,RYR6FT,EI-ENI,B738,EGGD/BRS,LPFR/FAO,3075,201,2024-11-11 17:44:59 UTC,Day flight,RYR
,ECA2HL,D-IOHL,C25A,EGGD/BRS,EBBR/BRU,19000,326,2024-11-11 18:00:00 UTC,Day flight,ECA
,ICI495,G-ISLN,AT75,EGGD/BRS,None/None,15000,228,2024-11-11 18:14:58 UTC,Day flight,BCI
EI3286,EAI86W,EI-GPP,AT76,EIDW/DUB,EGGD/BRS,10925,264,2024-11-11 18:14:59 UTC,Day flight,EAI
FR1361,RYR846K,EI-EFI,B738,EGGD/BRS,LIPZ/VCE,0,3,2024-11-11 18:15:00 UTC,Day flight,RYR
