departure_date,flight_type,total_flights,avg_departure_delay
2023-12-30,Regular departures,72,19.61111111111111
2023-12-30,Shoulder hour flights,20,17.5
2023-12-31,Night hour departures,1,5.0
2023-12-31,Regular departures,78,20.666666666666668
2023-12-31,Shoulder hour flights,8,7.125
2024-01-01,Regular departures,94,17.03191489361702
2024-01-01,Shoulder hour flights,17,4.823529411764706
2024-01-02,Night hour departures,1,0.0
2024-01-02,Regular departures,81,17.74074074074074
2024-01-02,Shoulder hour flights,13,15.307692307692308
2024-01-03,Regular departures,80,14.4
2024-01-03,Shoulder hour flights,5,6.8
2024-01-04,Night hour departures,1,3.0
2024-01-04,Regular departures,80,13.35
2024-01-04,Shoulder hour flights,16,8.375
2024-01-05,Regular departures,91,11.901098901098901
2024-01-05,Shoulder hour flights,15,5.2
2024-01-06,Regular departures,67,19.611940298507463
2024-01-06,Shoulder hour flights,17,14.941176470588236
2024-01-07,Regular departures,75,14.64
2024-01-07,Shoulder hour flights,15,11.866666666666667
2024-01-08,Night hour departures,1,5.0
2024-01-08,Regular departures,80,17.15
2024-01-08,Shoulder hour flights,14,14.142857142857142
2024-01-09,Regular departures,50,11.5
2024-01-09,Shoulder hour flights,11,2.3636363636363638
2024-01-10,Night hour departures,1,0.0
2024-01-10,Regular departures,51,7.0
2024-01-10,Shoulder hour flights,9,8.88888888888889
2024-01-11,Night hour departures,1,0.0
2024-01-11,Regular departures,63,9.158730158730158
2024-01-11,Shoulder hour flights,3,13.666666666666666
2024-01-12,Regular departures,76,8.68421052631579
2024-01-12,Shoulder hour flights,13,16.692307692307693
2024-01-13,Regular departures,63,13.80952380952381
2024-01-13,Shoulder hour flights,17,9.823529411764707
2024-01-14,Regular departures,70,10.814285714285715
2024-01-14,Shoulder hour flights,15,2.2
2024-01-15,Regular departures,57,9.614035087719298
2024-01-15,Shoulder hour flights,6,4.5
2024-01-16,Regular departures,41,9.170731707317072
2024-01-16,Shoulder hour flights,4,1.5
2024-01-17,Night hour departures,1,2.0
2024-01-17,Regular departures,44,12.977272727272727
2024-01-17,Shoulder hour flights,10,2.9
2024-01-18,Night hour departures,1,8.0
2024-01-18,Regular departures,58,13.275862068965518
2024-01-19,Regular departures,82,15.292682926829269
2024-01-19,Shoulder hour flights,13,26.384615384615383
2024-01-20,Regular departures,68,13.617647058823529
2024-01-20,Shoulder hour flights,17,2.9411764705882355
2024-01-21,Regular departures,39,11.256410256410257
2024-01-21,Shoulder hour flights,7,3.5714285714285716
